Consortium,Data Provider,HRA organ,Tissue block ID,RUI JSON ID,Registration Quality,Reason,Other comments,Unnamed: 8,Unnamed: 9,Unnamed: 10
Buck TMC,Kevin Schneider,Breast,SNT448.FKNL.277,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT455.LXXX.742,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT459.HDZP.832,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT465.HBTM.393,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT466.KMSV.992,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT474.DVXR.959,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT474.HQBR.385,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT537.QMZP.544,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT537.RXMJ.284,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT538.ZVFP.467,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT543.FWPV.672,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT543.HMQL.523,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT559.GWLZ.422,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT566.KXSB.639,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT575.NKVJ.435,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT576.DLRP.942,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT589.CTMS.492,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT593.JJXP.898,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT595.SXLB.673,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT623.XRQZ.379,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT623.XVPM.847,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT629.LCNL.753,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT629.RGVG.568,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT636.XJSR.476,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT653.RTGX.857,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT653.TMZQ.494,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT655.WRNF.289,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT665.BGVS.785,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT667.MSKH.668,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT673.NFBW.855,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT678.JJGH.554,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
Buck TMC,Kevin Schneider,Breast,SNT679.JKPQ.299,Breast_1.json,Low,Tissue laterality unknown,unknown laterality and exact location but comes from upper outer quadrant (left or right),,,
