block_id,slice_id,filename,tree_pos,slice_number,Unnamed: 0,x,y,z_slice,color,r,g,b,xlim,ylim,pin_nhash_id,polygon_nhash_id,atlas_id,local_name,slab_nhash_id,donor_nhash_id,slab_name,donor_name,pin_MRI_x,pin_MRI_y,pin_HCP_x,pin_HCP_y,pin_HCP_z,pin_MNI_x,pin_MNI_y,pin_MNI_z,polygon_area,polygon_volume(mm^3)
B1,102291577,slice_152.png,151,678,RI-YBDYWZ474626,233,463,678,BROWN,165,42,42,1150,886,RI-LFFMKI964369,RI-YBDYWZ474626,265297126,H19.30.001.10x.A32,SL-HBBUSS135270,DO-HBBU1352,H19.30.001.CX.43,H19.30.001,198,82,170,335,174,170,335,174,29841.5,577
B2,111257617,slice_185.png,184,846,RI-YFXDBF111121,108,962,846,CHARTREUSE,127,255,0,1184,924,RI-FDEZZF607931,RI-YFXDBF111121,265297126,H18.30.002.10x.A32,SL-KFFCNU489047,DO-KFFC4890,H18.30.002.CX.44,H18.30.002,313,55,188,322,105,188,322,105,3428,209
B2,112282687,slice_271.png,270,1229,RI-FGJIHG879897,370,1140,1229,CHARTREUSE,127,255,0,1421,999,RI-KJFHEG241050,RI-FGJIHG879897,265297126,H18.30.002.10x.Pir,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,313,115,151,265,111,151,265,111,2793,171
B3,112360683,slice_392.png,391,1752,RI-MPNOPP585116,364,932,1752,CHARTREUSE,127,255,0,1580,1060,RI-VRVTTT214725,RI-MPNOPP585116,265297126,H18.30.002.10x.Pul,SL-KFFCPR489021,DO-KFFC4890,H18.30.002.CX.50,H18.30.002,251,112,151,203,128,151,203,128,17897,1095
B4,112363258,slice_401.png,400,1835,RI-JFDFGG463970,93,1156,1835,CHARTREUSE,127,255,0,1524,1112,RI-KFHHIH611497,RI-JFDFGG463970,265297126,H18.30.002.10x.PnRF.003,SL-KFFCKO489066,DO-KFFC4890,H18.30.002.CX.51,H18.30.002,315,42,188,202,72,188,202,72,6425,413
B4,112363146,slice_429.png,428,1947,RI-NOMMLM722653,136,1077,1947,CHARTREUSE,127,255,0,1528,1072,RI-GJEHLD815596,RI-NOMMLM722653,265297126,H18.30.002.10x.PB,SL-KFFCFM489091,DO-KFFC4890,H18.30.002.CX.52,H18.30.002,301,56,165,181,83,165,181,83,6655,408
B4,112363004,slice_464.png,463,2087,RI-HDGDFG634217,53,961,2087,CHARTREUSE,127,255,0,1555,1031,RI-AWYXWV902583,RI-HDGDFG634217,265297126,H18.30.002.10x.CBV,SL-KFFCCX489028,DO-KFFC4890,H18.30.002.CX.53,H18.30.002,258,39,188,159,105,188,159,105,9979,652
B5,112364339,slice_500.png,499,2270,RI-ZWEAAY224687,181,1384,2270,CHARTREUSE,127,255,0,1542,1067,RI-LEFJEH855428,RI-ZWEAAY224687,265297126,H18.30.002.10x.MoAN,SL-KFFCWW489030,DO-KFFC4890,H18.30.002.CX.54,H18.30.002,371,60,176,154,39,176,154,39,4651,286
B2,111257682,slice_200.png,199,910,RI-EIGHDE979189,93,947,910,CHARTREUSE,127,255,0,1208,928,RI-PNMIMI826678,RI-EIGHDE979189,265297126,H19.30.002.10x.A25,SL-RLQJYW866674,DO-RLQJ8666,H19.30.002.CX.45,H19.30.002,303,49,188,303,119,188,303,119,3621,72
B2,111257682,slice_200.png,199,910,RI-XTQQSQ891218,93,947,910,CHARTREUSE,127,255,0,1208,928,RI-PNMIMI826678,RI-XTQQSQ891218,265297126,H19.30.002.CX45.A25,SL-RLQJYW866674,DO-RLQJ8666,H19.30.002.CX.45,H19.30.002,303,49,188,303,121,188,303,121,35111,706
B3,112360888,slice_344.png,343,1552,RI-ZGCZCY788058,429,1000,1552,CHARTREUSE,127,255,0,1507,1075,RI-MJKORM777772,RI-ZGCZCY788058,265297126,H19.30.002.10x.Gpe.003,SL-RLQJQV866644,DO-RLQJ8666,H19.30.002.CX.49,H19.30.002,264,128,139,219,145,139,219,145,20920.5,363
B3,112360771,slice_368.png,367,1664,RI-ZUBVVB366905,306,750,1664,CHARTREUSE,127,255,0,1505,1108,RI-BBEGHC893595,RI-ZUBVVB366905,265297126,H19.30.002.10x.LP.003,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,217,94,151,207,158,151,207,158,20594,348
B4,112363270,slice_398.png,397,1823,RI-CDCABH659802,319,871,1823,CHARTREUSE,127,255,0,1552,1112,RI-FCBBYF169777,RI-CDCABH659802,265297126,H19.30.002.10x.Pul,SL-RLQJLL866617,DO-RLQJ8666,H19.30.002.CX.52,H19.30.002,237,102,151,201,139,151,201,139,1974,36
B4,112363146,slice_429.png,428,1947,RI-HCBHYY527538,979,881,1947,CHARTREUSE,127,255,0,1528,1072,RI-FELEGJ583624,RI-HCBHYY527538,265297126,H19.30.002.CX53.MTC,SL-RLQJMH866642,DO-RLQJ8666,H19.30.002.CX.53,H19.30.002,260,266,65,176,116,65,176,116,9264,149
B5,112364351,slice_497.png,496,2258,RI-IKOKII678867,448,149,2258,CHARTREUSE,127,255,0,1512,1012,RI-HFEMKE903868,RI-IKOKII678867,265297126,H19.30.002.10x.A19,SL-RLQJZA866677,DO-RLQJ8666,H19.30.002.CX.57,H19.30.002,77,123,139,105,220,139,105,220,527,5
B3,112360771,slice_368.png,367,1664,RI-PMNKMO263442,485,90,1664,CHARTREUSE,127,255,0,1505,1108,RI-QSXRXQ724530,RI-PMNKMO263442,265297126,H19.30.001.10x.S1C.003,SL-HBBUTY135243,DO-HBBU1352,H19.30.001.CX.50,H19.30.001,55,144,139,189,290,139,189,290,201364.5,3815
B4,112363270,slice_398.png,397,1823,RI-DBDGFF423174,438,1146,1823,CHARTREUSE,127,255,0,1552,1112,RI-UVVUQU625004,RI-DBDGFF423174,265297126,H19.30.001.CX51.PPHC,SL-HBBULN135262,DO-HBBU1352,H19.30.001.CX.51,H19.30.001,302,125,148,205,108,148,205,108,18832.5,341
B2,111257617,slice_185.png,184,846,RI-XWZWXV434038,428,1009,846,CHARTREUSE,127,255,0,1184,924,RI-TQNLOQ754504,RI-XWZWXV434038,265297126,H19.30.001.10x.A13,SL-HBBUYZ135250,DO-HBBU1352,H19.30.001.CX.44,H19.30.001,319,138,139,311,96,139,311,96,64638,1077
B3,112360837,slice_355.png,354,1600,RI-XFXBZD749134,93,176,1600,CHOCOLATE,210,105,30,1564,1114,RI-YQQVSS184018,RI-XFXBZD749134,265297126,H18.30.002.CX49.M1C.10x.001,SL-KFFCZT489026,DO-KFFC4890,H18.30.002.CX.49,H18.30.002,59,46,188,168,283,188,168,283,4786,292
B4,112363258,slice_401.png,400,1835,RI-JMOJLM857670,151,974,1835,CHOCOLATE,210,105,30,1524,1112,RI-XWZATY678488,RI-JMOJLM857670,265297126,H18.30.002.10x.IC,SL-KFFCKO489066,DO-KFFC4890,H18.30.002.CX.51,H18.30.002,272,52,188,199,109,188,199,109,10660.5,685
